"";"idade";"a2010";"a2011"
"1";0;104;101
"2";1;5;5
"3";2;6;3
"4";3;3;1
"5";4;2;3
"6";5;3;3
"7";6;3;3
"8";7;5;2
"9";8;1;2
"10";9;1;1
"11";10;5;0
"12";11;3;4
"13";12;3;3
"14";13;8;5
"15";14;9;12
"16";15;18;10
"17";16;17;17
"18";17;22;17
"19";18;21;27
"20";19;35;29
"21";20;32;31
"22";21;24;33
"23";22;32;28
"24";23;29;31
"25";24;38;35
"26";25;34;32
"27";26;32;33
"28";27;40;29
"29";28;40;38
"30";29;27;29
"31";30;38;38
"32";31;35;37
"33";32;43;33
"34";33;27;44
"35";34;28;27
"36";35;43;42
"37";36;25;29
"38";37;27;37
"39";38;39;26
"40";39;32;42
"41";40;40;37
"42";41;42;39
"43";42;34;36
"44";43;41;37
"45";44;40;45
"46";45;51;55
"47";46;56;47
"48";47;43;58
"49";48;47;65
"50";49;63;71
"51";50;71;63
"52";51;74;79
"53";52;81;76
"54";53;92;82
"55";54;102;72
"56";55;87;87
"57";56;101;81
"58";57;81;99
"59";58;102;84
"60";59;78;91
"61";60;82;89
"62";61;86;121
"63";62;107;127
"64";63;86;101
"65";64;97;106
"66";65;88;110
"67";66;113;117
"68";67;104;107
"69";68;94;100
"70";69;103;122
"71";70;112;122
"72";71;109;117
"73";72;124;121
"74";73;124;124
"75";74;130;120
"76";75;134;123
"77";76;122;114
"78";77;125;123
"79";78;103;107
"80";79;136;132
"81";80;127;153
"82";81;120;139
"83";82;112;117
"84";83;115;126
"85";84;109;105
"86";85;94;106
"87";86;63;92
"88";87;71;70
"89";88;72;77
"90";89;57;65
"91";90;69;43
"92";91;51;53
"93";92;35;35
"94";93;23;26
"95";94;16;19
"96";95;27;17
"97";96;19;19
"98";97;14;6
"99";98;3;8
"100";99;8;1
"101";100;2;3
"102";101;2;1
"103";102;1;1
"104";103;2;0
"105";104;0;0
"106";105;0;0
"107";106;1;0
"108";107;0;0
"109";108;0;0
"110";109;0;0
"111";110;0;0
